
[26:19.000 --> 26:20.000]  So I,
[26:20.000 --> 26:21.000]  uh,
[26:21.000 --> 26:23.000]  confronted her,
[26:23.000 --> 26:24.000]  and she was,
[26:24.000 --> 26:25.000]  uh,
[26:25.000 --> 26:26.000]  had a show in Australia
[26:26.000 --> 26:27.000]  doing,
[26:27.000 --> 26:28.000]  selling a bunch of,
[26:28.000 --> 26:29.000]  uh,
[26:29.000 --> 26:30.000]  she had a personal,
[26:30.000 --> 26:32.000]  like her first cool show in Adeline,
[26:32.000 --> 26:33.000]  I think,
[26:33.000 --> 26:34.000]  with her,
[26:34.000 --> 26:35.000]  Sydney.
[26:35.000 --> 26:36.000]  I don't remember.
[26:36.000 --> 26:37.000]  So,
[26:37.000 --> 26:38.000]  um,
[26:38.000 --> 26:39.000]  she ends up,
[26:39.000 --> 26:40.000]  she knows my mother,
[26:40.000 --> 26:41.000]  because my mother,
[26:41.000 --> 26:42.000]  um,
[26:42.000 --> 26:44.000]  she know that story, right?
[26:44.000 --> 26:45.000]  So he killed himself,
[26:45.000 --> 26:47.000]  and my mother needs something to do,
[26:47.000 --> 26:48.000]  after she,
[26:48.000 --> 26:49.000]  uh,
[26:49.000 --> 26:50.000]  robbed me and everyone else in the family
[26:50.000 --> 26:51.000]  of all our money.
[26:51.000 --> 26:52.000]  Um,
[26:52.000 --> 26:53.000]  went to,
[26:53.000 --> 26:54.000]  back to,
[26:54.000 --> 26:55.000]  uh, art school in New York,
[26:55.000 --> 26:56.000]  and,
[26:56.000 --> 26:57.000]  uh,
[26:57.000 --> 26:58.000]  Marie was just about to leave her husband,
[26:58.000 --> 27:00.000]  and she went to art school in New York at the same time.
[27:00.000 --> 27:02.000]  So my mom's like 64,
[27:02.000 --> 27:04.000]  Marie was like 34 at the same time,
[27:04.000 --> 27:05.000]  but they hit it off,
[27:05.000 --> 27:06.000]  became friends.
[27:06.000 --> 27:07.000]  You know,
[27:07.000 --> 27:09.000]  Marie actually stayed on my mom's house,
[27:09.000 --> 27:10.000]  she knows my sisters,
[27:10.000 --> 27:11.000]  she did like cocaine with my mother,
[27:11.000 --> 27:12.000]  which is weird.
[27:12.000 --> 27:14.000]  You could imagine,
[27:14.000 --> 27:15.000]  with stories,
[27:15.000 --> 27:16.000]  it's very weird.
[27:16.000 --> 27:17.000]  Um,
[27:17.000 --> 27:18.000]  anyway,
[27:18.000 --> 27:19.000]  so,
[27:19.000 --> 27:20.000]  and not to incriminate me.
[27:20.000 --> 27:21.000]  It's a joke,
[27:21.000 --> 27:22.000]  you guys say.
[27:22.000 --> 27:23.000]  Having coffee with friends.
[27:23.000 --> 27:24.000]  Right, right.
[27:24.000 --> 27:25.000]  So,
[27:25.000 --> 27:26.000]  um,
[27:26.000 --> 27:27.000]  and then we hit it off,
[27:27.000 --> 27:28.000]  and she came back to LA,
[27:28.000 --> 27:29.000]  and she lived in LA fortunately,
[27:29.000 --> 27:30.000]  and,
[27:30.000 --> 27:31.000]  uh,
[27:31.000 --> 27:32.000]  and David needed somebody to,
[27:32.000 --> 27:33.000]  um,
[27:33.000 --> 27:35.000]  and my mother's side was not talking,
[27:35.000 --> 27:36.000]  and at this point,
[27:36.000 --> 27:37.000]  I was still friends with David,
[27:37.000 --> 27:38.000]  David Unridge,
[27:38.000 --> 27:40.000]  and he is someone on my mom's count,
[27:40.000 --> 27:41.000]  and so I said,
[27:41.000 --> 27:42.000]  you know what,
[27:42.000 --> 27:43.000]  I think I got the perfect person,
[27:43.000 --> 27:44.000]  I'm gonna,
[27:44.000 --> 27:45.000]  I'm gonna flip her,
[27:45.000 --> 27:46.000]  and take her from my mom's side,
[27:46.000 --> 27:47.000]  bring her to our side,
[27:47.000 --> 27:48.000]  it's a good side of the force,
[27:48.000 --> 27:49.000]  right,
[27:49.000 --> 27:50.000]  and I did,
[27:50.000 --> 27:51.000]  you know,
[27:51.000 --> 27:52.000]  and I did,
[27:52.000 --> 27:53.000]  and she became a source of the book,
[27:53.000 --> 27:54.000]  and she told David
[27:54.000 --> 27:55.000]  all the blanks he,
[27:55.000 --> 27:56.000]  uh,
[27:56.000 --> 27:57.000]  was missing,
[27:57.000 --> 27:59.000]  and we moved in together,
[27:59.000 --> 28:00.000]  you know,
[28:00.000 --> 28:01.000]  all my life,
[28:01.000 --> 28:02.000]  I've been like a bachelor,
[28:02.000 --> 28:03.000]  you know,
[28:03.000 --> 28:04.000]  kind of spoiled brat,
[28:04.000 --> 28:05.000]  mostly too,
