[03:36:54.460 --> 03:36:56.460]  Fed: Well, anything else
[03:36:56.460 --> 03:36:58.460]  Fed: that you think you might be able to help out with
[03:36:58.460 --> 03:37:00.460]  Fed: is what I'm going to do is I've written down
[03:37:00.460 --> 03:37:02.460]  Fed: a list of the stuff that
[03:37:02.460 --> 03:37:04.460]  Fed: we see you have Access To.
[03:37:04.460 --> 03:37:06.460]  Fed: And most look like
[03:37:06.460 --> 03:37:08.460]  Fed: financial project stuff
[03:37:08.460 --> 03:37:10.460]  Fed: which would be useful for someone.
[03:37:10.460 --> 03:37:12.460]  Fed: I don't know.
[03:37:12.460 --> 03:37:14.460]  Val: I can do
[03:37:14.460 --> 03:37:16.460]  Val: emails.
[03:37:16.460 --> 03:37:18.460]  Val: Those are pretty easy.
[03:37:18.460 --> 03:37:20.460]  Val: Again, social engineering
[03:37:20.460 --> 03:37:22.460]  Val: I'm pretty good at.
[03:37:22.460 --> 03:37:24.460]  Val: When I get in that zone
[03:37:24.460 --> 03:37:26.460]  Val: and turn on the charm,
[03:37:26.460 --> 03:37:28.460]  Val: I can do fun,
[03:37:28.460 --> 03:37:30.460]  Val: actually enjoy it sometimes.
[03:37:30.460 --> 03:37:32.460]  Val: Actually, that would be fun.
[03:37:32.460 --> 03:37:34.460]  Val: If you need...
[03:37:34.460 --> 03:37:36.460]  Val: I've been focusing
[03:37:36.460 --> 03:37:38.460]  Val: just as like any concerned citizen, I think
[03:37:38.460 --> 03:37:40.460]  Val: but you guys are FBI
[03:37:40.460 --> 03:37:42.460]  Val: so you don't have to answer the question.
[03:37:42.460 --> 03:37:44.460]  Val: I'm sort of Trump-based.
[03:37:44.460 --> 03:37:46.460]  Val: People come to me
[03:37:46.460 --> 03:37:48.460]  Val: with a lot of financial documents
[03:37:48.460 --> 03:37:50.460]  Val: from all over the world.
[03:37:50.460 --> 03:37:52.460]  Val: A lot of them are just...
[03:37:52.460 --> 03:37:54.460]  Val: There's a lot of hoops.
[03:37:54.460 --> 03:37:56.460]  Val: Some people like Ed from Ireland
[03:37:56.460 --> 03:37:58.460]  Val: is a legit guy.
[03:37:58.460 --> 03:38:00.460]  Val: The Catrice Jose guy
[03:38:00.460 --> 03:38:02.460]  Val: is some sort of state-run guy.
[03:38:02.460 --> 03:38:04.460]  Val: I don't know.
[03:38:04.460 --> 03:38:06.460]  Val: But I get a lot of that.
[03:38:06.460 --> 03:38:08.460]  Val: And then
[03:38:08.460 --> 03:38:10.460]  Val: there's
[03:38:10.460 --> 03:38:12.460]  Val: the Epstein thing with the sort of
[03:38:12.460 --> 03:38:14.460]  Val: a side gig for New York Times.
[03:38:14.460 --> 03:38:16.460]  Val: But I can
[03:38:16.460 --> 03:38:18.460]  Val: get that data,
[03:38:18.460 --> 03:38:20.460]  Val: but I did not want to take the step
[03:38:20.460 --> 03:38:22.460]  Val: to break in.
[03:38:22.460 --> 03:38:24.460]  Val: If you need me to do that, I'm happy to break in.
[03:38:24.460 --> 03:38:26.460]  Val: And if it's legal, and you guys are like
[03:38:26.460 --> 03:38:28.460]  Val: do legally, let's say
[03:38:28.460 --> 03:38:30.460]  Val: you can do this, I'm like OK
[03:38:30.460 --> 03:38:32.460]  Val: Good I'm happy to do that
[03:38:32.460 --> 03:38:34.460]  Fed: And it would definitely be something
[03:38:34.460 --> 03:38:36.460]  Fed: we would tell you to do with a bunch of other caveats
[03:38:36.460 --> 03:38:38.460]  Fed: and would not be allowed to do.
[03:38:38.460 --> 03:38:40.460]  Fed: But...
[03:38:40.460 --> 03:38:42.460]  Fed: Let's see.
[03:38:42.460 --> 03:38:44.460]  Fed: Let me know if I missed anything too,
[03:38:44.460 --> 03:38:46.460]  Fed: because I have
