[00:00.000]  Goldman: really just pull them out and they speak for themselves.
[00:04.920]  Val: Well, let me give you an example of what I'm concerned about. Like, my father in one email is talking to DBTCA, someone on the board, and says, why are you sending me this? I'm technically a freelance independent contractor. So I should not be getting this. What are you thinking? What are you doing? And the response is, oh, apologies. Let me send it up the chain, et cetera, et cetera. So someone looks at that, and they say, well, Bill Broeksmit is getting these documents illegally. He's a freelance independent. He's making it known that he's a freelance independent contractor at this point.
[00:41.200]  Val: So these people are sending him yet he looks at this work, and he does work on this particular project in an illegal fashion. Why is he doing this? I mean, something like that, it's so silly and stupid, but little things like that can be taken really far out of context. And then someone in your office is like, oh, well, Bill Broeksmit was technically a freelance independent contractor, but a board member at the same time, how can that be possible? Let's look into his relationship with Anshu. Why is Anshu?
[01:08.720]  Val: I mean, it could just go anywhere. I mean, it's limitless how things can be taken out of context. So I think it's a little naive to say that they speak for themselves.
[01:17.840]  Goldman: Right, but when you, look, I haven't seen it, but when you, and I don't know the exact story, but as you just described it to me, my reaction is the board member who sent it to your dad was doing the wrong thing, not your dad.
[01:31.720]  Val: Right, no, I know that's your reaction, but someone else with some other political agenda could spin that any way they want. I mean, I know, I mean, it's a risk that I'm taking, and I get that, and I'm happy to take that risk, but only to a limit, you know, Dan, it just worries me. It really worries me that I'm gonna be the one, like I'm spending all this four years learning finance, getting involved with this ridiculous, crazy political shit, and finance in New York Times to keep my father's name like solid, and then I'd sink it all, and then I'd ruin it all and blow it all up just by handing it over to some people that use it for their own needs because I didn't do my homework, and I didn't, and I didn't vet everybody, and I didn't, and I didn't, and I fucked it up, and I don't wanna be the one that fucks this up. So I wanna, I wanna, do you know what I mean?
[02:19.560]  Goldman: I totally hear that, but let me, let me propose to you something else, you know, is the our president has been unbelievably secretive about his finances, and he is then on the flip side of it, you know, having private one-on-one meetings with Vladimir Putin, he doesn't punish the Saudis after they murder, you know, a green card holder, Jamal Khashoggi, because they give a lot of money, you know, they invest a lot of money in the Trump Organization.
[02:57.080]  Goldman: Like, this is a guy who is really, really doing damage to our nation, and both domestically and abroad, and imagine a scenario where, you know, some of the material that you have can actually sort of provide the seed that we can then use to blow open, you know, everything that he's been hiding. Like, in some respects, you know, you and your father vicariously through you will go down in American history as a hero, and as the person who really broke open an incredibly corrupt president and administration.
[03:50.960]  Goldman: So I recognize your focus on the downside. I choose to focus on the upside, which is from the way you describe this information, and from what David said today, and, you know, it sounds like it can be really helpful to our investigation, and the problem with congressional investigations, which is different than the FBI and the prosecutors, is we, in Congress, you sort of need to have a foundation to continue to investigate.
[04:25.320]  Goldman: And if we are able to get some of these materials, they can really be the building block that we can then expand our investigation. So it could be incredibly helpful to us, even if we ultimately get the documents from another source, you know, which is entirely possible down the road, if we are able to, you know, get documents directly from Deutsche Bank. But it's, you know, it's also possible they might have erased them or destroyed them, you know, who knows, so.
[05:00.440]  Val: I would love if you could get them from Deutsche Bank, man. That'd be great.
[05:04.320]  Goldman: But we need, but it's hard because it's more difficult in some ways in Congress than it is for, you know, the prosecutor. I mean, you should tell the FBI, they should just go give a grand jury subpoena to Deutsche Bank and ask for all these emails. They can do it more easily than we can. So.
[05:23.680]  Val: Yeah, I'm sure they consider that too, but I don't know, they're coming to me. I don't know exactly what they want. But again, I don't think I told you, but Tim Lucy's coming out tomorrow. So I have another meeting with them tomorrow.
[05:37.120]  Val: But look, man, you're a good salesman, Dan. I mean, I know that'd be great. My dad was the hero, of course. I mean, that would be the, you know, exactly what I want as you know. But I mean, honestly, I don't think I have documents that are gonna really destroy Trump directly. I don't have a smoking gun, but I mean, I want to help.
[05:54.240]  Goldman: No, and that's my point is, that's my point is, I know you don't have a smoking gun, but it sounds like your emails provide the seed that we can then build upon. You know, the like initial building block that we can then start to expand and we've got a good foundation and a good basis to be able to dig into this.
[06:20.280]  Val: Sure, yeah, and I totally agree. I'm totally with that. So I think our interests are aligned. I'm right with you. I want to help. I'm also enraged at this crazy fucker Trump. And I want to do what I can. But Dan, you gotta respect what I'm coming from. Is that I just want some involvement here and some oversight on my father's emails. I don't want to be a part of your investigation. I don't have to do anything else, just some oversight in my father's emails.
[06:46.880]  Val: I mean, you don't have to fly me to DC. You can come out here. You know, maybe we can find something over FaceTime where we all just get together and I show you stuff on Skype or something. I mean, there's gotta be some way to do this where we both-
[07:01.240]  Goldman: I can promise you, Val, that we will continue-
[07:05.680]  Val: Compromise.
[07:06.520]  Goldman: To communicate with you. But, you know, we need the documents. I mean, I did a securities fraud investigations for three years. I recently hired another former prosecutor from the Southern District who was the chief of the complex frauds unit in the Southern District. You can vet him if you want. His name is Dan Noble.
[07:34.360]  Val: Yeah, I did. I did. I already looked him up.
[07:37.280]  Goldman: Oh, yeah. We are, you know, we're experienced financial investigators. And so-
[07:44.480]  Val: Yeah, no, David had only-
[07:45.800]  Goldman: Maybe we all may have questions, but I think we will be able to understand this. We just hired a 25 year veteran of the FBI who was the, who took on a very senior position in the financial crimes section of the FBI. You know, we're taking this very seriously and looking into this very seriously.
[08:14.960]  Val: I gotcha. I totally believe you. And I mean, if you're hiring all these people, I'm sure you got something in your budget to throw me over to DC or come out here or catch a flight or even-
[08:26.520]  Goldman: I think it's probably the news-
[08:28.360]  Val: A flash drive. What?
[08:31.080]  Goldman: What's that about a flash drive?
[08:32.080]  Val: Or even a flash drive, you know? Like, it's something. I mean, it's some kind of compromise here to help me trust you guys. I believe what you're doing and I don't doubt you-
[08:43.920]  Goldman: I can send you a flash drive, but that's what-
[08:47.720]  Val: No, I'm sorry. That was, I meant like, when I went to go meet Schiff, I said, hey, can you guys provide the flash drive? I should have given you context for that. But, because it was just weird that you wanted me to give you my own flash drive, which could have had millions of malicious scripts on it. So I was like, let's just keep things like, you know, copacetic in a sense where you give me a-
[09:09.120]  Goldman: We have very sophisticated technology where we run all sorts of tests because we work in a secure classified setting. So I wasn't worried about your malware. We just scrub everything very, very carefully.
[09:26.160]  Val: Okay, good.
[09:27.000]  Goldman: But, no, I mean, the district office is not, that's not what they do.
[09:31.360]  Val: No, but look, why is it a problem just to say, to put me in the room and say, look, here are the emails, Dan, what do you guys need? Let me show you how I set up the database. What's like a first topic you want? Let's do a search. Let me show you some emails. Let me show you what my dad, let me tell you about my father first so you get a sense of him. Let me show you what his tone is like. Here's an email where he's angry. Here's an email where he's, you know, trying to be politically correct. Here's what he means when he says ring fencing with Bill Winters. You know, here's what the context behind the Johnson and Johnson Quest diagnostic trade. Here's what 1.1 billion, this is what this means. Like, let me sit down and inform you guys of these things. I mean-
[10:17.320]  Goldman: Because a lot of that stuff is completely irrelevant to what we're looking at.
[10:19.720]  Val: Well, I mean, I'm just thinking that top of my head. I mean, for the stuff that is, oh, that's what you're trying to tell me. Okay, now it makes sense. So you can't tell me what's relevant to the investigation, which is why you don't want me out there, because then you would have to tell me in order to do the searches. Is that what you're trying to tell me?
