[00:00.000]  Ko: So, she had a very, yeah, very small recital.
[00:03.440]  Marie: It's a big deal for her.
[00:06.120]  Ko: Of course it is, I know. And she understands that when work comes up, I have to go. But, you know, at the very least, what I should do, like, you know, I should please go back. And, you know, I got her a little something from L.A.
[00:18.560]  Marie: Oh, that's so cute.
[00:20.560]  Ko: I can catch her before she goes back to sleep. But that's why I can't tell. You know, I would love to come right now. I'm seriously trying to catch her to the airport myself, which I don't know if I'll make the flight, but I at least want to make the effort to see if I can.
[00:32.720]  Marie: Okay, I see. Well, if you don't, you actually, once you're at the airport, you're not too far from where we are. Come here, like seriously. Just come.
[00:42.600]  Ko: Oh, no, I appreciate that.
[00:43.840]  Marie: And then we're gonna have to, like, don't, I mean, if you want, not, obviously if you want. But yeah, there is actually traffic, traffic is back. So, I don't know how long you've allowed yourself.
[01:00.120]  Ko: It's gonna be very close, unfortunately.
[01:02.840]  Marie: Well, okay. Well, you know, you have a plan B. It's easier, so.
[01:09.160]  Ko: At worst, I'll give you a call. I'll tell you I'm stopping by, but.
[01:12.560]  Marie: No, seriously. Yeah, do that. You might not make it. Sounds like you might not make it.
[01:18.560]  Ko: Who knows, right now I am sitting in a good bit of traffic on the 405, so it may take a little while. But I also wanted to tell you just about, so we had a very good conversation with Val and, you know, we got to learn some things and he got to learn some things from us.
[01:32.880]  Ko: So, the other thing I also wanted to tell you, which I told you on Sunday as well, you and Val, is that there are some things that he may not be able to tell you directly about. I know you guys have a very open and honest relationship, which is perfect. I would want nothing less from both of you. But there's some things that he's gonna talk to about us, you know, with us and the things that he's interested in.
[01:57.960]  Marie: that you would not share with me. Yeah, yeah, no, I understand.
[02:00.920]  Ko: Yeah, and that's just for everyone's protection. That's mainly for you because if you know about it, then you could become a witness and I don't want that. You know, it's really, it's no danger to me because it doesn't really affect me much, but it's more like if you know about it too, then if it's something that has to be testified, you know, then when they ask, does anyone else know about it? I think there's, oh yeah, I felt like, you know, like, is it your girlfriend or is it wife?
[02:25.360]  Marie: Yes, I'm currently in this divorce proceeding, so.
