start	end	text
0	8040	it's recording now sorry okay can you just okay yeah I was looking through the
8040	11480	text just to find out I know but we've got to figure out a good way to record
11480	15480	oh no I never started it was a problem see that now it's he's got the
15480	18960	recording line okay cool so now we know it's cool alright so just to reiterate
18960	28320	we're looking through the DBTC MCO breach report in relation to Don Ska Bank and
28320	32760	we're trying to figure out exactly what we're looking at yeah and my
32760	39280	understanding from the source that I talked to isn't it this is all this is
39280	44520	showing that on a given date which is in this case October 18th 2013 this is the
44520	52120	exposure that Deutsche Bank's USC and a DBTC has DBTC yeah it's a DBTC is the
52120	57960	parent company of DBTC there's like this place is organized like it's like
58320	61680	thousands of legal entities stacked on top of each other so your dad's still
61680	67120	New York base this is still DBTC is also DBTC in base in New York shoot I just
67120	73040	press but yes and and this is what your dad was on the board of both of them
73040	79960	which is why he was getting emails like this with this huge I thought DBTC a was
79960	86520	just specifically DBTC I okay I know you're saying there is a narrow right
86560	94840	DBTC your dad was on the board of both okay and look as I said the thing that
94840	100640	my guy said it was really interesting about this is not really particular
100640	106800	transactions but it's that there are if you go back to the main page of that
106800	111280	spreadsheet you'll see there no the one with the the one we're just looking
111280	114280	at the trades
114840	123080	it's pivot maybe okay yeah if you go it's gonna be really hard to do this on a
123080	127000	tablet but if you were to go do a search for the word Russia for instance or
127000	131360	Moscow you'll see that they're doing business with and I'll show you I've got
131360	135400	this on my computer as well let's just pull it up on your computer well no I
135400	139240	don't know this spreadsheet I just have I'm sure honestly I have you know it's
139240	144200	branching just search MCO breach report as the title of the sheet
146760	156480	this is I don't have it downloaded the but what I do have is I have in the text
156480	168080	of the book I've written down the names of some of the like weird institutions
168600	178320	that show up in the spreadsheet and weird institutions searching for Moscow and
178320	189880	if you tell me with John Moscow my guy is a trip I really think so so here are
189880	193720	some of the entities like there's first of all VTV which is the big and that's a
193720	199840	state-owned bank right that yeah and it's run by one of Putin's closest pals
199840	203800	I know and it's very close size of Deutsche Bank so there's tens of
203800	209960	millions of dollars it shows in outstanding transactions with VTV on
209960	214760	this particular given day there's also but there's all these other obscure
214760	217960	Russian banks that I personally never heard so there's Russian International
217960	222040	Bank okay I know what that is there's Russian joint-stop commercial roads bank
223000	228880	there's Russian mortgage bank okay there's Russian commercial bank Cyprus
228880	232440	limited that makes sense I mean well they're just they're doing business with
232440	236560	a ton of Russian banks and it's really cool all the season people created I don't
236560	241760	think for them between their their may be in the transaction maybe not
241760	247560	necessarily that a lot of them so look if you look in this they're also doing a
247560	251680	ton of business with that you said Don's good banks are doing business with like
251720	256320	Conoco Phillips is in here there's so it's a rain some of these are very
256320	261760	mainstream Arab petrol yeah they're doing a ton of business on this particular
261760	267520	day with a ton of different companies right okay so I don't think this is
267520	271600	gonna answer the fundamental question about clearly they're doing business the
271600	273840	Don's command but this is Deutsche Bank it's one of the biggest banks in the
273840	279920	world is doing business on any given day with like thank you David I know but
279920	283680	look Don's good bank if there's a breach report so we're talking about breaches
283680	289520	in the breaches between Don's good bank and Deutsche Bank so it's not anything
289520	295400	that has to do with see I don't think it reaches I think the breach is that they
295400	300680	have Deutsche has limits that it's normally supposed to be staying with
300680	306080	him so right a breach is when they go over below yeah those thresholds and
306240	312240	breaches I understand but I'm saying this if we can see how much money Don's
312240	315240	good banks owed to Deutsche or Deutsche's owed to Don's good bank and we can
315240	320280	sort of cross-reference with 150 billion that's being reported today you
320280	325160	might have a timeline that we can create from that yeah I understand what you're
325160	329920	saying I don't have the capacity to do that I've spent so many hours looking at
329920	339480	this yeah and it okay well show it to your expert friend with I will yeah I
339480	341760	will do that I mean maybe that's something to say it could be just shot in
341760	346720	the dark it might be worthless but it's worth just you know having once a look
346720	353240	over a quick look over I mean am I right or am I wrong I don't know yeah there
353240	357040	could be something there I mean I've had a I've spent a lot of time with this guy
357520	362360	there's and I think his view is that this is interesting because it shows the
362360	368360	variety of places that Deutsche was doing a ton of business with and it was
368360	372920	more than he thought especially as it related to Russia but was he at all
372920	377640	looking at it through the lens of Don's good bank and what was what's been
377640	381520	happening recently is this before all this is before dawn so now we have
381520	385280	something that might be helpful for that and again David I would like to say for
385320	388920	a year I've been telling you about this Don's good bank stuff here and you've
388920	392160	been saying it's it's silly it's silly but every time there's a new article
392160	397440	about it and now there's we have some a spreadsheet that shows that I was not so
397440	403800	silly you're not there's nothing silly about no I mean about my my referencing
403800	407400	this the spreadsheet in relation to Don's good banks relationship to Deutsche
407400	412760	bank I think there's something here I hear you okay and the guys that Glenn
412800	418480	hired said that this is interesting from a top completely different reason you're
418480	422080	telling me that I'm asking you that is that what he said no and we're gonna
422080	427200	shut that because we can't get into that that's we don't say the names or even
427200	440880	reference okay so yeah okay should we should we start doing a little yeah
440880	445840	let's just get to yeah how do you want to do this let's start the beginning and
445840	450720	just go through the whole thing I just read it to you yes I'll read it to you
450720	455960	yes and you can restore chocolate in a pillow yeah exactly if you have a roaring
455960	464840	fire yes it'd be lovely um that train that yeah raise that train raise that
464840	478160	here yeah I think it's a champion way over you know I've an idea let me I'm
478160	493240	just gonna pause you guys don't have 80% for me
508720	512320	except we'll eat up
525440	528260	you
528260	537780	All right, well, maybe we can just delete all that and just start again.
537780	538780	No, no, no.
538780	539780	It was like a test.
539780	540780	It's fine.
540780	541780	No, there's...
541780	544260	I didn't know I wasn't supposed to bring up that guy.
544260	548140	Yeah, just don't bring up any specifics about sources, because not because it's like...
548140	549140	But did you see what I was doing?
549140	552180	I was like making it look like that was a separate entity from the one that you could
552180	553180	join.
553180	554180	It's fine.
554180	555180	It's...
555180	556980	I was muddying the water, specifically, because I knew that's the guy you're referring
556980	557980	to.
557980	558980	So I made it look like this is a separate person.
558980	559980	Got it.
