start	end	text
0	4520	I think the position should be pretty good, right?
4520	5520	Yeah.
5520	9640	You want your full body, no?
9640	10640	Yeah.
10640	11640	In the shot.
11640	12640	Me or Val?
12640	13640	Everybody.
13640	15240	Well, what part of me is in the shot now?
15240	19000	Well, it's just, I mean, maybe you could just a little bit on there.
19000	20000	Where's your, where's...
20000	21000	Yeah, like this.
21000	22000	Okay.
22000	23000	Yeah, so where's his free man, so he doesn't...
23000	27040	Yeah, I thought it was right around here, because keep in mind it goes, once you actually
27040	29080	hit play, hit record.
29080	30080	It's going to go over more.
30080	31080	It's not over CC.
31080	32080	Oh, yeah, because this is...
32080	33080	Yeah, you've got room.
33080	34080	No, sorry.
34080	35080	Is this okay right now?
35080	36080	Yeah, that's great.
36080	37080	Okay, great.
37080	38080	Okay.
38080	39080	Oh, Kida.
39080	40080	So, we are...
40080	54880	We are in the early days of them at Deutsche Bank, and so Edson is, as I've said, and as
54880	63080	you know, just like, he's unbridled id, and that's like, that's what he is.
63080	65600	He's like a big bundle of id.
65600	66600	And Bill...
66600	69080	A bit of ego.
69080	71360	Bill is more the super ego, right?
71360	75880	He's the one who is reserved, he kind of restrains the...
75880	77880	He's a practical one.
77880	84800	He's practical, he's conservative, and he's just like down to earth.
85480	92600	Sometimes in ways that people make fun of him for, like he takes the tube to work, which
92600	96360	is crazy, because these guys do not take the tube, and they take the tube.
96360	97360	No, he loves the tube.
97360	98360	Yeah, he loves the tube.
98360	99360	Loves the subway.
99360	100360	He loves trains.
100360	101360	Loves trains.
101360	106000	I like trains, too.
106000	107000	So one of...
107000	111800	Bill was kind of running a business, but he had a co-head of the business, a guy named
111800	112800	Martin Loat.
112800	113800	Loat?
114800	118800	He was a retired British military officer.
118800	121800	What's he a military officer?
121800	123080	He was in...
123080	126480	The rumor was that, which wasn't true, is that he was a Special Forces officer, but he's
126480	127480	just...
127480	128480	He's not.
128480	129480	He was in the military.
129480	131480	Like, doing life in the military.
131480	136480	I think he was in the army, I'm not quite sure what he was doing.
136480	141520	It doesn't really matter, for these purposes.
141600	148480	So, sorry, Bill took Martin under his wing a bit, and kind of trained him on...
148480	150120	Especially when it came to ethical things.
150120	151120	So he...
151120	154760	He trained Martin on that, yes.
154760	157760	And it...
157760	160640	So Martin always looked up to him.
