start	end	text
0	4000	I mean these aren't going to be synced up at all, like this is going to be a mess from right?
4000	6000	No, I mean it'll be easy.
6000	8000	It'll be so easy for them to sync it up.
8000	9000	Um...
9000	10000	It's not difficult.
10000	11000	Okay.
12000	13000	Um...
14000	15000	Okay.
15000	16000	Let's see.
17000	18000	Alright, so...
18000	19000	1145.
19000	20000	Yeah.
22000	24000	He gets up, gets himself out of bed.
24000	25000	Okay.
25000	27000	Pulls on jeans, buttoned down shirt.
27000	29000	Rain is falling.
30000	32000	Water dripping down the windows.
32000	34000	Warping his view of the world outside.
34000	36000	So it was raining, I was right.
37000	38000	Yeah.
38000	39000	Um...
39000	40000	I remember seeing rain in Chelsea.
40000	41000	It was raining.
41000	42000	Yeah.
42000	43000	Uh...
44000	48000	Bill's latest Sunday routine of going to the cafe for coffee, newspapers, people watching.
48000	50000	Bill says no thanks.
50000	52000	All leaves.
52000	54000	Not super happy with Bill.
54000	56000	That he's flaking out.
56000	58000	Um...
58000	60000	It's 1145.
60000	63000	Door to the building clicks, the last clocks.
66000	69000	Bill gets the letters from the hiding place.
69000	71000	Put some in Daisy's bed.
72000	75000	Wait, he gets the letters from the hiding place?
75000	76000	They were written in advance.
76000	77000	They were written in advance?
77000	78000	Yeah.
78000	79000	How far in advance?
79000	80000	I don't know.
80000	81000	How do you know this?
81000	85000	Because I've looked at the letters and I've looked at a clock.
85000	86000	And there's no...
86000	91000	It is physically impossible for him to have written those letters
91000	94000	and done what he's about to do in the time allowed.
94000	96000	Have you tried it?
96000	98000	I've eyeballed it.
98000	99000	There is...
99000	101000	He wrote seven letters.
101000	102000	Okay.
102000	103000	Including one that was at least ten pages long.
103000	104000	Right.
104000	105000	Okay.
105000	107000	There's no way he did that in...
107000	108000	And there were drops.
108000	109000	In 45 minutes.
109000	111000	But I saw drops thrown away in the trash bin.
112000	113000	Um...
114000	115000	Maybe he did half and half.
115000	116000	Maybe he wrote some before.
116000	118000	What do you think, the night before?
118000	119000	I have no idea.
119000	120000	Okay.
120000	121000	There were...
121000	122000	Takes Daisy's red leash.
122000	123000	Okay.
123000	126000	Attaches one end to the handle on the front shores.
126000	129000	Arcs the leash over the top of the doors.
129000	131000	Ties the other around his neck.
131000	132000	Make sure it's secure.
132000	133000	Lunges forward.
133000	134000	Okay.
136000	138000	40 minutes after the shoe lap.
138000	140000	All it comes back.
140000	142000	Climbed stairs.
142000	144000	Walks into the apartment.
144000	146000	Bill's hanging.
146000	149000	She calls 999.
149000	151000	Dispatcher says help is on its way.
151000	153000	Goes into the kitchen.
153000	155000	Grabs a knife.
155000	157000	And a small ladder.
157000	158000	Climbs up the ladder.
158000	159000	Slices the leash.
159000	160000	Bill crashes to the floor.
160000	162000	All the world's his body.
162000	164000	She tries CPR.
164000	165000	Doesn't work.
165000	167000	Paramedics arrive at 1231.
167000	170000	Which is three minutes after the radio calling out.
170000	173000	All they find are all a crouched over bill.
173000	174000	Trying CPR.
174000	177000	But screaming too much for it to be effective.
177000	178000	They take over.
178000	181000	And the EMT removes the leash from Bill's neck.
181000	183000	Checks for breathing and pulse.
183000	184000	Doesn't find either.
184000	186000	Clamps on a neck brace.
186000	189000	Inserts a tube into Bill's throat to open his obstructive airway.
189000	191000	Starts pumping in oxygen.
191000	193000	Another paramedic hooks up an IV with adrenaline.
193000	197000	Someone radius for a helicopter ambulance.
197000	198000	It's too late.
198000	199000	One o'clock.
199000	201000	He's pronounced life extent.
201000	204000	All of us manages to say that he'd been depressed
204000	206000	and was taking hard medication.
206000	208000	Paramex being packed in their equipment.
208000	210000	You arrive 10 minutes later.
210000	214000	Paramex tells you that police are on their way.
214000	215000	You're in a haze.
215000	217000	You don't really understand why.
217000	219000	Figure you should document the scene.
219000	222000	He snaps some photos.
222000	224000	Bill's like draped in a white bathrobe.
224000	227000	And his head and neck and arms are all sticking out perpendicular to his body.
227000	231000	Looking a little bit like you've been crucified.
231000	233000	What?
233000	235000	You know?
235000	236000	I've seen the pictures.
236000	237000	Crucified?
237000	239000	White bathrobe.
239000	241000	There's a white bit.
241000	243000	Oh, over on top of him.
243000	245000	His head and neck and arms are sticking out.
245000	246000	Right.
246000	248000	Yes, they opened up...
248000	250000	Yes, food.
