start	end	text
0	3440	So, she had a very, yeah, very small recital.
3440	6120	It's a big deal for her.
6120	7200	Of course it is, I know.
7200	9840	And she understands that when work comes up, I have to go.
9840	12560	But, you know, at the very least, what I should do,
12560	14520	like, you know, I should please go back.
14520	17560	And, you know, I got her a little something from L.A.
18560	20560	Oh, that's so cute.
20560	22480	I can catch her before she goes back to sleep.
22480	23760	But that's why I can't tell.
23760	25960	You know, I would love to come right now.
25960	28320	I'm seriously trying to catch her to the airport myself,
28320	29880	which I don't know if I'll make the flight,
29880	32720	but I at least want to make the effort to see if I can.
32720	33560	Okay, I see.
33560	35200	Well, if you don't,
35200	36800	you actually, once you're at the airport,
36800	39480	you're not too far from where we are.
39480	41760	Come here, like seriously.
41760	42600	Just come.
42600	43840	Oh, no, I appreciate that.
43840	46320	And then we're gonna have to, like, don't,
46320	50200	I mean, if you want, not, obviously if you want.
50200	54440	But yeah, there is actually traffic, traffic is back.
54440	59440	So, I don't know how long you've allowed yourself.
60120	62840	It's gonna be very close, unfortunately.
62840	63800	Well, okay.
63800	66400	Well, you know, you have a plan B.
66400	67960	It's easier, so.
69160	70880	At worst, I'll give you a call.
70880	72560	I'll tell you I'm stopping by, but.
72560	73520	No, seriously.
73520	75160	Yeah, do that.
75160	76080	You might not make it.
76080	78560	Sounds like you might not make it.
78560	81160	You know, right now I am sitting in a good bit of traffic
81160	83960	on the 405, so it may take a little while.
83960	87080	But I also wanted to tell you just about,
87080	89000	so we had a very good conversation with Val
89080	91560	and, you know, we got to learn some things
91560	92880	and he got to learn some things from us.
92880	95920	So, the other thing I also wanted to tell you,
95920	99160	which I told you on Sunday as well, you and Val,
99160	101520	is that there are some things that he may not be able
101520	102600	to tell you directly about.
102600	105520	I know you guys have a very open and honest relationship,
105520	106360	which is perfect.
106360	109880	I would want nothing less from both of you.
109880	113520	But there's some things that he's gonna talk to about us,
113520	116960	you know, with us and the things that he's interested in,
117960	119360	that you would not share with me.
119360	120920	Yeah, yeah, no, I understand.
120920	123360	Yeah, and that's just for everyone's protection.
123360	125520	That's mainly for you because if you know about it,
125520	129000	then you could become a witness and I don't want that.
129000	131200	You know, it's really, it's no danger to me
131200	132840	because it doesn't really affect me much,
132840	135000	but it's more like if you know about it too,
135000	138240	then if it's something that has to be testified, you know,
138240	140680	then when they ask, does anyone else know about it?
140680	142360	I think there's, oh yeah, I felt like, you know,
142360	144360	like, is it your girlfriend or is it wife?
145360	149760	Yes, I'm currently in this divorce proceeding, so.
149760	151080	Of course, yeah.
151080	151920	Yeah.
151920	155200	So anyway, so you know, I talk to my girlfriend
155200	158280	and then they say, okay, well, we need to subpoena her.
158280	160960	And then you have to be on the witness ban too
160960	164440	to answer questions, to validate some things.
164440	166880	And that's not good, that's not good for anyone.
166880	171000	Because your identity is out there and anyway, so.
171000	173480	I know, you can, oh, okay, no, no,
173480	175880	you can trust in me, I won't ask questions
175880	177360	and whatever he tells me, he tells me,
177360	180120	I won't torture him for that.
181000	182360	Of course, of course.
182360	183200	Okay.
183200	185360	And you have my number too, it's like,
185360	188200	what I was telling Val is that if you independently,
188200	190800	like say Val is out or something like that,
190800	193200	and you know, you think he says, oh hey,
193200	195080	I'm gonna go work with David,
195080	196720	you can call me at the, hey, you know,
196720	199080	is he okay, is he all right, and I'll tell you, of course,
199080	200800	like yeah, he's fine, he's safe.
200800	202720	And then if we decide to work together,
202720	206920	right now, I have to find something for him to do,
