start	end	text
0	3000	Okay, can you hear me? David?
3000	5000	It's your station name?
5000	6000	Hello.
6000	7000	I think we're all good.
7000	8000	A little louder?
8000	9000	I don't want it louder.
9000	10000	Okay.
10000	13000	Uh, January 26th, 2019.
13000	14000	That is today.
14000	16000	Five years since your death, Seth.
16000	17000	Yeah.
17000	18000	How are you feeling?
18000	19000	Uh, shitty.
19000	21000	It's a terrible day, of course.
21000	23000	So...
23000	25000	How about you?
25000	27000	What is it that you ever experienced?
27000	28000	I don't know.
28000	30000	I don't know what's been on your brain.
30000	31000	Five years.
31000	33000	Do you, like, think about the five years?
33000	36000	Like, these annual anniversaries are the most important days to you?
36000	37000	Of course.
37000	39000	Of course, I dread them.
39000	41000	I don't like this day.
41000	43000	It's a terrible day.
43000	46000	It's not only because my dad's death,
46000	48000	and I have to think about it all over again,
48000	51000	because I know there's no one I can call or talk to.
51000	54000	My sisters and my family are all doing something.
54000	57000	And they are, uh, you know, I'm excluded from all that.
57000	65000	So I usually just go out and try and take my mind off of it various ways.
65000	67000	Like, tonight we have a party scheduled.
67000	68000	So...
68000	69000	Yes.
69000	71000	I remember on the first anniversary,
71000	73000	uh, Andrew did something nice.
73000	77000	He didn't know that his screening for the Jinx was on the 26th.
77000	80000	I mean, he didn't know the significance of the 26th,
80000	81000	so he invited me to his screening.
81000	83000	And I was during the Sony hack,
83000	86000	and that was why I flew from San Francisco to LA to do that.
86000	88000	Just take my mind off of it.
88000	94000	The next year, 2015, was pretty miserable.
94000	97000	Um, I spent that at this...
97000	99000	Uh, sorry, 2016 was pretty shitty,
99000	104000	because I spent that in some hotel room in New York.
104000	106000	Pretty high.
106000	111000	Um, 2017, that was when I met Glenn on that day.
111000	123000	And then in 2018, I was, I think, a hibernation point for most of January last year.
123000	125000	And then here we are today.
125000	131000	But around that same time is when we contact each other again to do this project.
131000	134000	So that was something that always kind of happens around then.
134000	136000	Um, you were around.
136000	137000	You came out...
137000	140000	I came out, I think it was like a week or two later last year.
140000	141000	What was it?
141000	143000	I think it was early February, yeah.
143000	145000	Yeah, I don't think, I think it was late January.
145000	146000	But we'll...
146000	148000	Maybe, it definitely wasn't the 26th,
148000	149000	because I think I would have remembered that.
149000	154000	But I think it was around the 26th when you called and said something about the book.
154000	156000	No, that was a bit later.
156000	157000	Um...
157000	158000	Okay.
158000	159000	Anyway...
159000	160000	Yeah, it's just miserable time.
160000	161000	I mean, what do you want?
161000	162000	I'm just...
162000	164000	Yeah, no, you mentioned it all.
