[00:00.000 --> 00:02.000]  Val: Right now. Good.
[00:02.000 --> 00:04.000]  Val: Okay. Yeah.
[00:04.000 --> 00:06.000]  Val: Where are my phones?
[00:06.000 --> 00:08.000]  Val: Uh-huh. Where am I?
[00:08.000 --> 00:10.000]  Val: Deployed.
[00:10.000 --> 00:12.000]  Val: Deployed.
[00:12.000 --> 00:14.000]  Val: Oh, why don't you take these out for a second?
[00:14.000 --> 00:16.000]  Val: Okay.
[00:16.000 --> 00:18.000]  Val: One, two, three.
[00:31.000 --> 00:33.000]  Val: I don't think I like these jeans.
[00:33.000 --> 00:35.000]  Marie: They're really great.
[00:35.000 --> 00:36.000]  Val: Yeah, very.
[00:36.000 --> 00:38.000]  Marie: Yeah, especially when we run the run.
[00:38.000 --> 00:40.000]  Val: Okay.
[00:40.000 --> 00:42.000]  Val: Thank you, baby.
[00:42.000 --> 00:43.000]  Val: You're kind of...
[00:43.000 --> 00:44.000]  Marie: Normal guy.
[00:44.000 --> 00:45.000]  Val: Normal guy?
[00:45.000 --> 00:46.000]  Val: Oh, good.
[00:46.000 --> 00:47.000]  Marie: Cool.
[00:47.000 --> 00:48.000]  Val: Cool style.
[00:48.000 --> 00:49.000]  Marie: Yeah.
[00:49.000 --> 00:50.000]  Marie: Like, very stylish.
[00:50.000 --> 00:51.000]  Val: Nice.
[00:51.000 --> 00:52.000]  Val: Okay.
[00:52.000 --> 00:53.000]  Marie: I don't...
[00:53.000 --> 00:55.000]  Val: I don't wear this stuff.
[00:57.000 --> 00:58.000]  Val: Okay.
[00:58.000 --> 00:59.000]  Marie: Huh?
[01:08.000 --> 01:10.000]  Val: Oh, my cigarette.
[01:10.000 --> 01:11.000]  Val: Oh, yeah, my check.
[01:11.000 --> 01:12.000]  Val: I need that mask.
[01:12.000 --> 01:13.000]  Marie: Okay.
[01:13.000 --> 01:15.000]  Val: And my cigarette loaves.
[01:17.000 --> 01:18.000]  Marie: What are you using now?
[01:18.000 --> 01:19.000]  Val: Uh, lighter.
[01:19.000 --> 01:21.000]  Val: Like a small one.
[01:21.000 --> 01:23.000]  Val: Oh, I think I have one in my bag, actually.
[01:23.000 --> 01:24.000]  Val: Oh, yeah.
[01:24.000 --> 01:25.000]  Val: Oh, perfect.
[01:25.000 --> 01:26.000]  Val: No, no, no. Wait, wait.
[01:26.000 --> 01:27.000]  Val:  This one scares me.
[01:28.000 --> 01:29.000]  Val: No.
[01:29.000 --> 01:30.000]  Val: That's not good.
[01:30.000 --> 01:32.000]  Val: You can put that somewhere else.
[01:34.000 --> 01:35.000]  Val: One, two, three.
[01:35.000 --> 01:36.000]  Marie: Courage, huh?
[01:36.000 --> 01:38.000]  Val: Do you want to give me back all the other stuff?
[01:40.000 --> 01:41.000]  Val: The, um...
[01:41.000 --> 01:42.000]  Val: The bad greeners?
[01:42.000 --> 01:43.000]  Marie: Yeah.
[01:43.000 --> 01:44.000]  Val: Do you want that back?
[01:44.000 --> 01:45.000]  Marie: Yeah, this one.
[01:45.000 --> 01:46.000]  Val: Okay.
[01:47.000 --> 01:48.000]  Marie: Yeah.
[01:48.000 --> 01:49.000]  ??: I can't do this one.
[01:49.000 --> 01:50.000]  Val: Okay.
[01:53.000 --> 01:54.000]  Val: Is it bad?
[01:54.000 --> 01:55.000]  Marie: Yeah.
[01:55.000 --> 01:56.000]  Val: Yeah.
[01:56.000 --> 01:57.000]  I can't do this.
[01:57.000 --> 01:58.000]  I don't know if it's...
[01:58.000 --> 01:59.000]  It's good.
[01:59.000 --> 02:00.000]  It's good?
[02:00.000 --> 02:01.000]  Yeah.
[02:01.000 --> 02:02.000]  It's beautiful.
[02:02.000 --> 02:03.000]  Oh, that's beautiful.
[02:03.000 --> 02:04.000]  You...
[02:04.000 --> 02:06.000]  Val: I'm gonna picture you in your beauty.
[02:09.000 --> 02:10.000]  Val: Okay.
[02:10.000 --> 02:11.000]  Val: Wow.
